places,time,tweet
Washington DC & Virginia,2021-01-14 03:13:37,"WORRISOME—Australia suddenly saw 5 infections of the UK 🇬🇧 B117 variant among 4 quarantined travelers &amp; a cleaner on the same floor—but get this—none of the 5 people occupied the same room!

(Whisper)—it’s airborne, &amp; #B117 40-80% more contagious. #COVID19
https://t.co/seXjjfnDzb"
"Atlanta, GA",2021-01-14 19:57:51,"New research shows that more than half of all #COVID19 cases are spread by infected people without any symptoms. Wear a mask, wash your hands, and stay 6 feet from others—even if you’re feeling well. Learn more @JAMANetworkOpen: https://t.co/SdIg4XLJKm. https://t.co/RHxYEDAXZ5"
Washington DC & Virginia,2021-01-15 15:16:58,"BREAKING—We are out of vaccine reserves! Trump HHS Sec Azar announced this week that the govt would begin releasing #COVID19 vaccine doses held in reserve for 2nd shots—but no such reserve existed!! Trump HHS had already shipped out reserves end of Dec! 
https://t.co/mOQ3EhRbaY https://t.co/suliKPbo3M"
"montreal, canada",2021-01-15 16:56:30,So how are you enjoying working from home? #COVID19 #pandemic
,2021-01-15 16:56:28,"@ScottAdamsSays Just like many of us have been saying all along, and lock downs are pretty much bullshit. #COVID19 sure is turning out to be one hell of a dumb check."
"Austin, Texas",2021-01-15 16:56:28,"Thank you @WillieNelson for doing your part in the fight against #COVID19! We urge those eligible to get vaccinated to protect themselves and their communities. 
https://t.co/MKrAZH7XQs"
"Boston, MA",2021-01-15 16:56:26,"The current infrastructure is so poor, I’m afraid that many will be left behind. How did anyone expect this to go well? There should be a more concerted effort to get those who are most in need scheduled. #COVID19 #CovidVaccine @GovMurphy"
,2021-01-15 16:56:23,"#NewYork Gov says it will take half a year to get all of those currently illegible in NY the #Covid19 shot. He says NY supply of vaccines from the federal government has gone down weekly from 300,000 to 250,000. https://t.co/liy8CaHqNa"
South Africa,2021-01-15 16:56:21,@CityPowerJhb Can't figure out which pandemic is better 🤔 #COVID19 or #Loadshedding
United States,2021-01-15 16:56:17,"1/2 @cgewertz writes that despite community spread of #COVID19, @SAISD, under CFC Board Chair @SAISD_Supt, has been able to safely bring many students back for critical in-person learning with a phased return and weekly COVID testing for students and staff.https://t.co/OgdFb6yMm4"
"Morgan Hill, CA",2021-01-15 16:56:16,"Dr. Huang and Dr. Ann have completed their training and are ready to help out! Due to the logistic of both Pfizer + Moderna vaccines, most likely #dentists will be called to administer #covid19 vaccines in a central location and not in our office. We will keep you updated HERE! https://t.co/5sToKbh349"
"Missouri, USA",2021-01-15 16:56:10,Sign-up for your turn to get COVID-19 vaccine in Jackson County https://t.co/gsqdvxOKLR via @KCTV5 #helpYOUgetGAINS #KansasCity #COVID19 #coronavirus #vaccine
"Boca Raton, Florida",2021-01-15 16:56:04,Med student Christine Byun recently assisted the pharmacy team at Memorial Primary Care’s #COVID19 vaccine site. The team was grateful for her enthusiasm &amp; aptitude for learning &amp; using prep methods to ease vaccine administration. #FAU #MedOwls #FeelGoodFriday https://t.co/YqyGOxm3B2
NYC,2021-01-15 16:56:03,@nyulangone #COVID19 Vaccine Team just now https://t.co/OjwhCwoDOJ
